project,nc,fcd,lcd,nbfc,nbfc_a,nbfc_io,nbfc_v,nbfc_if,nbic,nbic_szz,nbic_jl+r,nbic_jlip+r,nbic_jlmiv,nbic_jlmiv+,nbic_jlmiv+av,nbic_jlmiv+rav,nbic_jlmiv+r
freemarker,3370,2010-03-14T20:26:24.000000,2021-04-28T07:38:10.000000,42,0,42,0,42,104,0,104,42,0,0,0,0,0
openwebbeans,4271,2008-11-22T17:29:01.000000,2021-05-14T10:04:27.000000,1094,0,1094,0,1094,1229,0,1229,756,0,0,0,0,0
commons-jexl,3276,2002-04-26T04:23:17.000000,2018-10-28T16:56:23.000000,294,236,264,163,264,534,527,264,259,389,243,243,229,229
commons-scxml,1216,2005-08-17T18:48:02.000000,2018-10-17T22:52:51.000000,155,109,123,67,123,309,279,91,74,107,62,62,59,59
cxf-fediz,2547,2011-12-21T21:53:59.000000,2021-05-17T07:10:39.000000,97,0,97,0,97,82,0,82,61,0,0,0,0,0
zookeeper,2952,2007-11-03T04:41:15.000000,2018-06-15T06:02:58.000000,1914,1837,1671,0,1671,1177,1170,437,382,0,0,0,0,0
tapestry-5,6311,2007-04-24T02:30:57.000000,2021-08-02T19:17:32.000000,3254,3191,1455,0,1455,0,0,0,0,0,0,0,0,0
reef,3952,2012-08-01T16:33:53.000000,2021-05-26T15:06:07.000000,389,0,389,0,389,141,0,141,97,0,0,0,0,0
juddi,3119,2003-11-09T13:33:09.000000,2021-07-28T22:37:32.000000,801,0,801,0,801,616,0,616,488,0,0,0,0,0
velocity-engine,4833,2000-09-30T17:03:07.000000,2021-07-07T14:18:16.000000,256,0,256,0,256,439,0,439,417,0,0,0,0,0
velocity-tools,1905,2002-01-03T20:11:54.000000,2021-04-08T07:04:53.000000,47,0,47,0,47,37,0,37,36,0,0,0,0,0
karaf-cellar,2557,2011-05-06T17:55:35.000000,2021-03-27T17:54:04.000000,782,0,782,0,782,442,0,442,378,0,0,0,0,0
maven-archetype,1764,2004-12-29T06:20:51.000000,2021-08-17T23:16:12.000000,112,0,112,0,112,98,0,98,97,0,0,0,0,0
maven-doxia,1967,2005-04-12T01:56:08.000000,2021-09-03T12:01:26.000000,252,0,252,0,252,205,0,205,182,0,0,0,0,0
maven-scm,2183,2004-04-20T19:05:47.000000,2021-09-16T20:46:28.000000,346,0,346,0,346,270,0,270,245,0,0,0,0,0
maven-surefire,3317,2004-01-30T22:03:57.000000,2021-09-15T20:56:05.000000,633,0,633,0,633,687,0,687,635,0,0,0,0,0
maven-wagon,1484,2004-03-30T14:42:58.000000,2021-07-25T13:39:37.000000,168,0,168,0,168,208,0,208,197,0,0,0,0,0
oodt,2883,2010-05-03T01:15:31.000000,2021-10-03T06:46:03.000000,378,0,378,0,378,230,0,230,143,0,0,0,0,0
portals-pluto,3320,2003-09-30T14:01:12.000000,2021-07-14T21:01:21.000000,508,298,461,0,461,553,492,322,267,0,0,0,0,0
qpid-jms,2305,2013-05-29T15:37:26.000000,2021-09-27T15:26:41.000000,317,303,274,0,274,572,565,321,248,0,0,0,0,0
sis,7524,2010-03-20T18:49:04.000000,2021-10-08T14:36:55.000000,104,50,92,0,92,586,479,305,187,0,0,0,0,0
uima-ducc,5018,2013-01-02T18:47:50.000000,2019-11-10T13:39:51.000000,1839,1829,1823,0,1823,1748,1745,1103,874,0,0,0,0,0
avro,2788,2009-04-09T18:13:31.000000,2020-03-02T08:37:37.000000,1378,1331,960,0,960,1253,1248,211,189,0,0,0,0,0
usergrid,11187,2011-09-28T07:39:53.000000,2020-12-17T13:08:19.000000,264,50,253,0,253,192,132,117,105,0,0,0,0,0
james,5764,2006-09-22T16:27:10.000000,2018-10-12T08:27:34.000000,1206,0,1206,0,1206,0,0,0,0,0,0,0,0,0
