project,id,age,#commits,#added,#deleted,#files,#comments,#review_comments,bot,code_change,intra_branch,#approvals,#changes_requested,fix,test,buggy,is_member,url
knox,5ff32756b786fc56db9d9e8b,7006.65,1,157,124,7,0,0,false,false,false,0,0,false,true,false,false,https://github.com/apache/knox/pull/30
knox,5ff32779b786fc56db9da709,86.73333333333333,1,861,743,98,0,0,false,true,false,0,0,false,true,false,false,https://github.com/apache/knox/pull/23
knox,5ff32786b786fc56db9da9e7,4755.1,1,453,270,33,0,0,false,true,false,0,0,false,true,true,false,https://github.com/apache/knox/pull/20
phoenix,5ff59a6b3e7630517c1da50d,1.7833333333333334,1,34,0,2,1,0,false,true,false,0,0,true,true,false,true,https://github.com/apache/phoenix/pull/345
phoenix,5ff59a9b3e7630517c1da757,1042.25,1,194,67,9,0,0,false,true,false,1,0,false,true,false,true,https://github.com/apache/phoenix/pull/333
phoenix,5ff59a9d3e7630517c1da767,25.333333333333332,1,38,26,2,1,0,false,true,false,0,0,false,false,false,true,https://github.com/apache/phoenix/pull/332
phoenix,5ff59aa23e7630517c1da776,272.9,1,56,28,6,1,0,false,true,false,0,0,false,false,true,true,https://github.com/apache/phoenix/pull/330
phoenix,5ff59aa83e7630517c1da7b1,1101.3833333333334,1,321,161,4,2,0,false,true,false,0,0,false,false,false,true,https://github.com/apache/phoenix/pull/328
phoenix,5ff59afc3e7630517c1dac8f,9463.883333333333,1,537,16,10,21,34,false,true,false,0,2,false,true,false,true,https://github.com/apache/phoenix/pull/315
phoenix,5ff59b2a3e7630517c1dae74,18.9,1,1,1,1,0,0,false,false,false,0,0,false,false,false,true,https://github.com/apache/phoenix/pull/310
phoenix,5ff59c843e7630517c1dc481,28053.0,22,1446,243,50,1,0,false,true,false,0,0,false,true,false,false,https://github.com/apache/phoenix/pull/300
opennlp,5ff1b1d03eb6c0184d5d22b0,14222.566666666668,1,209,7,6,2,2,false,true,true,1,0,false,true,false,true,https://github.com/apache/opennlp/pull/312
opennlp,5ff1b1ee3eb6c0184d5d2374,4122.2,1,1,1,1,2,0,false,false,false,2,0,true,false,false,false,https://github.com/apache/opennlp/pull/302
opennlp,5ff1b1f63eb6c0184d5d239f,176.73333333333332,1,106,5,6,0,0,false,true,false,1,0,false,true,false,false,https://github.com/apache/opennlp/pull/299
opennlp,5ff1b2113eb6c0184d5d243d,18.116666666666667,1,0,15,2,2,0,false,true,false,0,0,true,false,false,true,https://github.com/apache/opennlp/pull/288
opennlp,5ff1b2133eb6c0184d5d2445,3583.8333333333335,1,171,0,3,1,0,false,true,false,0,0,false,false,false,true,https://github.com/apache/opennlp/pull/287
opennlp,5ff1b21e3eb6c0184d5d24ad,12.916666666666666,1,13,76,2,0,0,false,false,false,1,0,false,false,false,true,https://github.com/apache/opennlp/pull/283
